id,url,accession_number,region_general_made,region_specific_made,technique,shape,attribution,painter_group,painter_subgroup,earliest_date,latest_date,date_range,authority,height_cm,provenance,comments
744,http://www.beazley.ox.ac.uk/record/D73AE890-8078-44A9-8A4D-EE59E7B72D55,"Munich, Antikensammlungen 1438  Unknown, Candelori  Rome, Candelori Collection  Munich, Antikensammlungen J163",greece_central,athens,black-figure,amphora_neck,compare tyrrhenian group,NA,NA,-575,-525,50,BAPD,NA,"italy, etruria, vulci",NA
752,http://www.beazley.ox.ac.uk/record/CF82FC4D-B34F-46A1-83D5-B70AA5A130A5,"Boston (MA), Museum of Fine Arts 41.913",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,-600,-550,50,BAPD,NA,NA,NA
753,http://www.beazley.ox.ac.uk/record/91B26578-4B27-41AE-AB07-E16DDE5EEBA0,"Boston (MA), Museum of Fine Arts 68.46",greece_central,athens,black-figure,amphora_a,manner of lysippides p,NA,NA,-550,-500,50,BAPD,NA,NA,NA
754,http://www.beazley.ox.ac.uk/record/25CAD398-22BB-440F-A06C-50A672245D47,"Boston (MA), Museum of Fine Arts 80.612 ",greece_central,athens,black-figure,amphora_b,compare rycroft p,NA,NA,-550,-500,50,BAPD,NA,NA,NA
756,http://www.beazley.ox.ac.uk/record/39ABBF75-8A8B-4A9D-9567-99F59C2E695B,"Boston (MA), Museum of Fine Arts 63.2664  Philadelphia (PA), Market",greece_central,athens,black-figure,amphora_b,manner of gorgon p,NA,NA,-575,-525,50,BAPD,NA,NA,NA
757,http://www.beazley.ox.ac.uk/record/7A252211-16C3-45FB-AA55-067F30C10791,"Cleveland (OH), Museum of Art 26.553 ",greece_central,athens,red-figure,lekythos_squat,NA,NA,NA,-425,-375,50,BAPD,NA,NA,NA
761,http://www.beazley.ox.ac.uk/record/6D81F758-62EB-41E4-929A-E27B31947A72,"Cleveland (OH), Museum of Art 27.145",greece_central,athens,black-figure,loutrophoros,NA,NA,NA,-525,-475,50,BAPD,NA,NA,NA
1018,http://www.beazley.ox.ac.uk/record/1271DB5F-5CD4-43BC-8CAB-18F7739699E4,"Leiden, Rijksmuseum van Oudheden I1954.12.2 ",greece_central,athens,black-figure,amphora_neck,manner of lydos,NA,NA,-575,-525,50,BAPD,NA,NA,NA
1047,http://www.beazley.ox.ac.uk/record/78057275-B585-4B13-9BC1-926B47CFC927,"Paris, Cabinet des Medailles 243  Unknown, Oppermann Collection 76",greece_central,athens,black-figure,amphora_pseudo_panathenaic,NA,NA,NA,-550,-500,50,NA,NA,"rhodes, camiros",NA
1063,http://www.beazley.ox.ac.uk/record/7FF81D18-A7AA-4610-B84E-CD16A7342CB8,"Basel, market, Munzen und Medaillen A.G. ",greece_central,athens,black-figure,amphora_b,gorgon_p_near,NA,NA,-600,-550,50,NA,NA,NA,NA
1113,http://www.beazley.ox.ac.uk/record/33CE1BDD-0C7C-41D2-A3E0-9A9E57CD4B4A,"Munich, Antikensammlungen 1567",greece_central,athens,black-figure,amphora_neck,bareiss p,NA,NA,-550,-500,50,NA,NA,NA,NA
1160,http://www.beazley.ox.ac.uk/record/D9D6B825-1676-4672-94BF-A083BCC54B88,"Munich, Antikensammlungen 1562  Rome, Candelori Collection  Munich, Antikensammlungen J1325",greece_central,athens,black-figure,amphora_neck,manner of mastos p,NA,NA,-550,-500,50,NA,NA,"italy, etruria, vulci",NA
1161,http://www.beazley.ox.ac.uk/record/E16C2681-3B68-450C-82EE-DD651F37D5A4,"Munich, Antikensammlungen 1488  Munich, Antikensammlungen J309",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,-550,-500,50,NA,NA,"italy, etruria, vulci",NA
1176,http://www.beazley.ox.ac.uk/record/0C43F560-73CF-4363-A688-F4801BE6E392,"Hamburg, Museum fur Kunst und Gewerbe 1917.1436 ",greece_central,athens,black-figure,lekythos,beldam_p_workshop,NA,NA,-500,-450,50,BAPD,NA,NA,NA
1177,http://www.beazley.ox.ac.uk/record/736AE33A-393B-4E21-AE48-868913B9270A,"Hamburg, Museum fur Kunst und Gewerbe 1917.1437 ",greece_central,athens,black-figure,lekythos,beldam_p_workshop,NA,NA,-500,-450,50,BAPD,NA,NA,NA
1190,http://www.beazley.ox.ac.uk/record/780D06DE-EDA1-4420-A127-E62D2101C646,"Hamburg, Museum fur Kunst und Gewerbe 1913.390 ",greece_central,athens,black-figure,amphora_neck,red_line_p,NA,NA,-525,-475,50,BAPD,NA,NA,NA
1191,http://www.beazley.ox.ac.uk/record/F069D32A-EB53-428D-B83B-1982A65C364C,"Hamburg, Museum fur Kunst und Gewerbe 1917.472",greece_central,athens,black-figure,amphora_neck,antimenes_p_manner,NA,NA,-525,-475,50,BAPD,NA,NA,NA
1199,http://www.beazley.ox.ac.uk/record/B8E145EA-488E-40F6-8F24-9D8452FE6AAF,"Kassel, Staatliche Museen Kassel, Antikensammlung T389",greece_central,athens,red-figure,lekythos_squat,manner of meidias p,NA,NA,-425,-375,50,BAPD,NA,corinth,NA
1200,http://www.beazley.ox.ac.uk/record/6EB97003-B161-4826-92C3-B7066E3FE72A,"Kassel, Staatliche Museen Kassel, Antikensammlung T357 ",greece_central,athens,red-figure,lekythos_squat,NA,NA,NA,-475,-425,50,BAPD,NA,NA,NA
1201,http://www.beazley.ox.ac.uk/record/22819D1F-B536-4E70-AF0B-3138929D4DA7,"Kassel, Staatliche Museen Kassel, Antikensammlung T356",greece_central,athens,red-figure,lekythos_squat,NA,NA,NA,-400,-300,100,BAPD,NA,NA,NA
1261,http://www.beazley.ox.ac.uk/record/8D66A409-D0CC-41F2-856E-39E530CF4897,"Mainz, Romisch-Germanisches Zentralmuseum 15419 ",greece_central,athens,black-figure,lekythos,beldam_p_manner,NA,NA,-500,-450,50,BAPD,NA,NA,NA
1268,http://www.beazley.ox.ac.uk/record/FA6856BC-20BD-41BF-9455-17BA20BB377E,"Munich, Antikensammlungen J692  Rome, Candelori Collection  Erlangen, Friedrich-Alexander-Universitat M31",greece_central,athens,black-figure,amphora_neck,"tarquinia rc 6847, p of",NA,NA,-550,-500,50,NA,NA,"italy, etruria, vulci",NA
1269,http://www.beazley.ox.ac.uk/record/4F61C6A2-F4A8-4D00-8D7A-F7748549283A,"Munich, Antikensammlungen 1553  Rome, Candelori Collection  Munich, Antikensammlungen J718",greece_central,athens,black-figure,amphora_neck,manner of lysippides p,NA,NA,-550,-500,50,NA,NA,"italy, etruria, vulci",NA
1479,http://www.beazley.ox.ac.uk/record/3896F91D-1044-426C-BFEC-99804CAF92C6,"Oxford, Ashmolean Museum 1960.1290 ",greece_central,athens,black-figure,amphora_neck,manner of lydos,NA,NA,-575,-525,50,BAPD,NA,NA,NA
1481,http://www.beazley.ox.ac.uk/record/B54BF397-623C-4955-8F23-BF2C6E0D082E,"Munich, Antikensammlungen J1331  Rome, Candelori Collection  Munich, Antikensammlungen 1511",greece_central,athens,black-figure,amphora_neck,antimenes_p_manner,NA,NA,-550,-500,50,NA,NA,"italy, etruria, vulci",NA
1493,http://www.beazley.ox.ac.uk/record/DB8B5D54-4F20-4538-B050-1769D1D55097,"Munich, Antikensammlungen J270  Rome, Candelori Collection  Munich, Antikensammlungen 1556",greece_central,athens,black-figure,amphora_neck,manner of lysippides p,NA,NA,-550,-500,50,BAPD,NA,"italy, etruria, vulci",NA
1497,http://www.beazley.ox.ac.uk/record/F0E61C09-644C-4EB5-9A25-4E7902BE1CC1,"Cleveland (OH), Museum of Art 23.644 ",greece_central,athens,black-figure,amphora_panathenaic,NA,NA,NA,-550,-500,50,BAPD,NA,NA,NA
1498,http://www.beazley.ox.ac.uk/record/6A1D9418-96E5-40EB-AF92-B98E7F9AC426,"Cleveland (OH), Museum of Art 23.645 ",greece_central,athens,black-figure,amphora_b,NA,NA,NA,-575,-525,50,BAPD,NA,NA,NA
1510,http://www.beazley.ox.ac.uk/record/4AD84CCF-05D6-4623-990E-3FF3C5159543,"Zurich, University 2502 ",greece_central,athens,red-figure,pelike,NA,NA,NA,-425,-375,50,BAPD,NA,NA,NA
1524,http://www.beazley.ox.ac.uk/record/D552851F-81DF-4B84-B47C-81B318C8C1D0,"Zurich, University 3476",greece_central,athens,black-figure,lekythos,haimon_p_manner,NA,NA,-500,-450,50,BAPD,NA,NA,NA
1526,http://www.beazley.ox.ac.uk/record/489521CC-17B0-4A7B-B619-634276816442,"Zurich, University 2487",greece_central,athens,black-figure,lekythos,haimon_p_manner,NA,NA,-500,-450,50,BAPD,NA,NA,NA
1577,http://www.beazley.ox.ac.uk/record/BFC6EC45-11B8-49A8-838B-F4F5633A68D7,"Munich, Antikensammlungen 1496  Munich, Antikensammlungen J91",greece_central,athens,black-figure,amphora_neck,eye-siren group,NA,NA,-550,-500,50,BAPD,NA,NA,NA
1583,http://www.beazley.ox.ac.uk/record/BD060F02-146F-48EB-AFBA-DC113FE3C06E,"Leiden, Rijksmuseum van Oudheden K96.9.4 ",greece_central,athens,black-figure,lekythos,emporion_p_manner,NA,NA,-500,-450,50,BAPD,NA,"italy, naples, near",NA
1590,http://www.beazley.ox.ac.uk/record/668BA878-947A-4C62-9D6D-F1FB3E713E9D,"Leiden, Rijksmuseum van Oudheden PC32  Unknown, Canino Collection 1345  Leiden, Rijksmuseum van Oudheden XVII20",greece_central,athens,black-figure,lekythos,haimon_p,NA,NA,-500,-450,50,BAPD,NA,"italy, etruria, vulci",NA
1591,http://www.beazley.ox.ac.uk/record/884A8CD3-6E7A-4D7D-B4BF-1BD6B8E084BC,"Leiden, Rijksmuseum van Oudheden I1956.8.1  Basel, market, Munzen und Medaillen A.G.",greece_central,athens,black-figure,alabastron,diosphos p,NA,NA,-500,-450,50,BAPD,NA,NA,NA
1592,http://www.beazley.ox.ac.uk/record/3F09F403-E36E-4F10-B398-B6E1FD5FBBAE,"Leiden, Rijksmuseum van Oudheden KVB3 ",greece_central,athens,black-figure,lekythos,haimon_p,NA,NA,-500,-450,50,BAPD,NA,"libya, cyrenaica",NA
1730,http://www.beazley.ox.ac.uk/record/E703633F-5010-4BBF-A47A-7533557298AC,"Paris, Musee du Louvre E733",greece_central,athens,black-figure,amphora_a,NA,NA,NA,-550,-500,50,BAPD,NA,"italy, etruria",NA
1773,http://www.beazley.ox.ac.uk/record/4F6CA827-ABFD-4D22-BDF7-E513392DDA2C,"Mainz, Romisch-Germanisches Zentralmuseum 12452 ",greece_central,athens,red-figure,pelike,"london e 395, p of",NA,NA,-450,-400,50,BAPD,NA,NA,NA
